variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7364887351489845,0.6808127043235912,0.7967178837243616,2.4135084700511633e-14,base,aou_v7
f.sexOther,0.5960146530514153,0.4107260754094357,0.8648914396240405,0.006448092303655521,base,aou_v7
f.age45-54,1.0777466728411393,0.9593542394430694,1.2107497346282114,0.20727545149865306,base,aou_v7
f.age55-64,1.4481274451294264,1.3005739191323913,1.612421306076959,1.4466899206704284e-11,base,aou_v7
f.age65+,1.6092213292955615,1.4427162859221414,1.7949428532336718,1.3735894923204513e-17,base,aou_v7
f.vaccVaccinated,0.45089618949864424,0.3980944059349719,0.5107014081921242,4.8197305797881265e-36,base,aou_v7
f.raceBlack,2.297423128826523,2.0961326094229196,2.5180434716485633,1.0129676652751519e-70,base,aou_v7
f.raceAsian,1.3328857641825298,0.9976615792682536,1.7807485998042571,0.05187616881222649,base,aou_v7
f.raceOther,1.4097955629838008,1.1680348973752206,1.701596017272366,3.4587239696459926e-4,base,aou_v7
f.ethnicityHispanic,0.9713928504685694,0.8061714371232443,1.1704756910126026,0.7602635811471287,base,aou_v7
f.ethnicityOther,1.0397953278932976,0.7918865381803298,1.365314690653983,0.7788417002638798,base,aou_v7
f.wavedelta,1.243751967322165,1.1191911548978586,1.3821758235383244,5.089059014798879e-5,base,aou_v7
f.waveomicron,1.0392204593107486,0.9553787217124262,1.1304199460443105,0.37004394505702976,base,aou_v7
Myocardial_Infarction,0.9316675016633956,0.8262871992151057,1.0504874509495425,0.24778824079334902,base,aou_v7
Congestive_Heart_Failure,1.1947888534174198,1.0786348880596879,1.3234509842514186,6.480360407438915e-4,base,aou_v7
Peripheral_Vascular_Disease,0.9228112157980074,0.832162149114288,1.0233348643758629,0.12782215506515796,base,aou_v7
Cerebrovascular_Disease,1.20173099662559,1.0844539328265357,1.331690857984776,4.522917790341642e-4,base,aou_v7
Dementia,1.1093596573531919,0.9441023310224931,1.3035439156578785,0.2072850219795235,base,aou_v7
Chronic_Pulmonary_Disease,0.8519261453283538,0.78728568788422,0.9218739375848553,6.875290779394503e-5,base,aou_v7
Rheumatic_Disease,0.907679243132944,0.8056650913740107,1.0226105328819899,0.11128866511888501,base,aou_v7
Peptic_Ulcer_Disease,0.9438644389683443,0.8240358807524198,1.0811180677418715,0.4042659136780406,base,aou_v7
Liver_Disease_Mild,0.7576142670488591,0.6906558147904363,0.8310642802741639,4.1118141444063915e-9,base,aou_v7
Liver_Disease_Moderate_Severe,1.3744118772866845,1.1232367448256781,1.6817541067176134,0.0020104848239612064,base,aou_v7
Diabetes_without_Chronic_Complications,1.0153805194678098,0.9099413021923913,1.1330374792644953,0.7849584210519494,base,aou_v7
Diabetes_with_Chronic_Complications,0.9567572346149573,0.8621600574656403,1.0617337210898816,0.4052762250178163,base,aou_v7
Hemiplegia_Paraplegia,1.0204294637415152,0.8599209187523029,1.2108977322968604,0.8168370909390574,base,aou_v7
Renal_Disease_Mild_Moderate,1.0534232975114097,0.9390226366704284,1.1817613339701492,0.37489993250855325,base,aou_v7
Renal_Disease_Severe,1.2880087165283471,1.1204507315176944,1.4806241873802561,3.715984372872719e-4,base,aou_v7
HIV,0.9531181644124581,0.667640052574237,1.360664675269706,0.7914967121802806,base,aou_v7
Metastatic_Solid_Tumor,1.2238703338312915,1.0255368970210585,1.4605604131682057,0.025120550817688714,base,aou_v7
Malignancy,1.073664356824646,0.9705719842672068,1.1877070117432085,0.16757226649658005,base,aou_v7
AIDS,0.7608798657777638,0.5671219976277225,1.0208353274387036,0.0683823718331133,base,aou_v7
f.sexFemale,0.7356501382582405,0.6794923830416785,0.7964491426626833,3.521961001600457e-14,insurance,aou_v7
f.sexOther,0.5817533914456531,0.40062536515962466,0.8447717940267535,0.004422215238200724,insurance,aou_v7
f.age45-54,1.0922353054534153,0.9715014511922562,1.2279734230091541,0.13988277676321556,insurance,aou_v7
f.age55-64,1.4846515035009542,1.3321233846497829,1.654644090965439,9.003817807628888e-13,insurance,aou_v7
f.age65+,1.7381049658202026,1.5411303690617075,1.9602552339865578,2.0979446602754993e-19,insurance,aou_v7
f.vaccVaccinated,0.4588680442190633,0.404901503800113,0.5200274141470587,2.9957336247361127e-34,insurance,aou_v7
f.raceBlack,2.1477110964192243,1.955825732893711,2.3584222643689596,1.1164483264175487e-57,insurance,aou_v7
f.raceAsian,1.3710365909227518,1.0243808258566676,1.8350024582675044,0.033839574263193735,insurance,aou_v7
f.raceOther,1.3543996412754078,1.1201829622572541,1.637588188799534,0.0017386568668491611,insurance,aou_v7
f.ethnicityHispanic,0.917359178860037,0.7598251641033897,1.1075546096605082,0.3695554662575268,insurance,aou_v7
f.ethnicityOther,1.0393259407538347,0.7899033980015613,1.367506981052015,0.782932230953496,insurance,aou_v7
f.wavedelta,1.248781902860667,1.1231573078640498,1.3884575473029548,4.007269172228978e-5,insurance,aou_v7
f.waveomicron,1.0577283107404998,0.971913233741179,1.1511204297891942,0.19357607468818383,insurance,aou_v7
Myocardial_Infarction,0.9273506590845255,0.8222313447031686,1.0459090989956878,0.2191680243827978,insurance,aou_v7
